"feature_id"	"type"	"function."	"evidence_codes"
"fig|1578.144.peg.1"	"peg"	"Chromosomal replication initiator protein DnaA"	"isu;DNA-replication icw(3);DNA_replication_cluster_1 icw(1);Cell_Division_Subsystem_including_YidCD"
"fig|1578.144.peg.2"	"peg"	"DNA polymerase III beta subunit (EC 2.7.7.7)"	"icw(1);DNA-replication icw(2);DNA_replication_cluster_1 icw(3);Cell_Division_Subsystem_including_YidCD"
"fig|1578.144.peg.3"	"peg"	"FIG002958: hypothetical protein"	"icw(2);DNA_replication_cluster_1 isu;Hypothetical_Coupled_to_RecF"
"fig|1578.144.peg.4"	"peg"	"DNA recombination and repair protein RecF"	"isu;DNA_repair,_bacterial_RecFOR_pathway icw(5);DNA_replication_cluster_1 icw(3);Cell_Division_Subsystem_including_YidCD icw(1);Hypothetical_Coupled_to_RecF"
"fig|1578.144.peg.5"	"peg"	"DNA gyrase subunit B (EC 5.99.1.3)"	"isu;DNA_gyrase_subunits isu;DNA_topoisomerases,_Type_II,_ATP-dependent isu;DNA_replication_cluster_1 isu;Cell_Division_Subsystem_including_YidCD isu;Resistance_to_fluoroquinolones"
"fig|1578.144.peg.6"	"peg"	"DNA gyrase subunit A (EC 5.99.1.3)"	"icw(1);DNA_gyrase_subunits icw(1);DNA_topoisomerases,_Type_II,_ATP-dependent icw(1);DNA_replication_cluster_1 icw(1);Cell_Division_Subsystem_including_YidCD icw(1);Resistance_to_fluoroquinolones"
"fig|1578.144.peg.7"	"peg"	"SSU ribosomal protein S6p"	"ff"
"fig|1578.144.peg.8"	"peg"	"Single-stranded DNA-binding protein"	"isu;DNA_repair,_bacterial_RecFOR_pathway isu;DNA_repair,_bacterial isu;pVir_Plasmid_of_Campylobacter"
"fig|1578.144.peg.9"	"peg"	"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"	"isu;Staphylococcal_pathogenicity_islands_SaPI"
"fig|1578.144.peg.10"	"peg"	"Phosphoesterase, DHH family protein"	"icw(1);SA:14-24 icw(1);CBSS-262719.3.peg.410"
"fig|1578.144.peg.11"	"peg"	"LSU ribosomal protein L9p"	"isu;Ribosome_LSU_bacterial isu;SA:14-24 isu;CBSS-262719.3.peg.410"
"fig|1578.144.peg.12"	"peg"	"Replicative DNA helicase (EC 3.6.1.-) [SA14-24]"	"isu;DNA-replication icw(2);SA:14-24 icw(2);CBSS-262719.3.peg.410"
"fig|1578.144.peg.13"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.14"	"peg"	"FIG00743526: hypothetical protein"	"ff"
"fig|1578.144.peg.15"	"peg"	"Peptide transport system permease protein sapB (TC 3.A.1.5.5)"	"ff"
"fig|1578.144.rna.1"	"rna"	"tRNA-Thr-AGT"	""
"fig|1578.144.peg.16"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.17"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.18"	"peg"	"FIG00749310: hypothetical protein"	"ff"
